from,to,edge
mAcon1,CG13365,1
mAcon1,CG13623,1
mAcon1,CG14407,1
mAcon1,CG14483,1
mAcon1,CG14757,1
mAcon1,CG14817,1
mAcon1,CG15456,1
mAcon1,CG15908,1
mAcon1,CG2076,1
mAcon1,CG33181,1
mAcon1,CG33199,1
mAcon1,CG34132,1
mAcon1,CG34150,1
mAcon1,CG34228,1
mAcon1,CG42795,1
mAcon1,CG43066,1
mAcon1,CG44242,1
mAcon1,Chchd2,1
mAcon1,CG5028,1
mAcon1,CG5065,1
mAcon1,CG5214,1
mAcon1,Mic26-27,1
mAcon1,CG6044,1
mAcon1,CG6115,1
mAcon1,CG6329,1
mAcon1,CG6330,1
mAcon1,CG6878,1
mAcon1,CG7430,1
mAcon1,CG7630,1
mAcon1,CG7920,1
mAcon1,CG8245,1
mAcon1,CG9034,1
mAcon1,Cox17,1
mAcon1,CG9921,1
mAcon1,Chchd3,1
mAcon1,Cisd2,1
mAcon1,comt,1
mAcon1,COX4,1
mAcon1,COX5A,1
mAcon1,COX5B,1
mAcon1,COX6B,1
mAcon1,COX7A,1
mAcon1,COX7C,1
mAcon1,COX8,1
mAcon1,CR41597,1
mAcon1,CRIF,1
mAcon1,ctp,1
mAcon1,cype,1
mAcon1,Cyt-c-p,1
mAcon1,DnaJ-H,1
mAcon1,eEF1beta,1
mAcon1,eEF1gamma,1
mAcon1,eIF3i,1
mAcon1,eIF3l,1
mAcon1,Fie,1
mAcon1,Frq1,1
mAcon1,Gabat,1
mAcon1,Hex-A,1
mAcon1,Hsc70-5,1
mAcon1,Hsp60A,1
mAcon1,Idh3b,1
mAcon1,Ip259,1
mAcon1,IscU,1
mAcon1,kdn,1
mAcon1,Idh3a,1
mAcon1,Pdha,1
mAcon1,l(2)37Cc,1
mAcon1,l(2)k09913,1
mAcon1,levy,1
mAcon1,MagR,1
mAcon1,Mdh1,1
mAcon1,mEFTs,1
mAcon1,mEFTu1,1
mAcon1,Mpcp2,1
mAcon1,mRpL12,1
mAcon1,mRpL13,1
mAcon1,mRpL14,1
mAcon1,mRpL17,1
mAcon1,mRpL2,1
mAcon1,mRpL23,1
mAcon1,mRpL27,1
mAcon1,mRpL34,1
mAcon1,mRpL4,1
mAcon1,mRpL41,1
mAcon1,mRpL47,1
mAcon1,mRpL49,1
mAcon1,mRpS14,1
mAcon1,mRpS18A,1
mAcon1,mRpS24,1
mAcon1,mRpS25,1
mAcon1,mRpS28,1
mAcon1,mRpS33,1
mAcon1,mRpS5,1
mAcon1,mRpS6,1
mAcon1,mRpS7,1
mAcon1,Mtch,1
mAcon1,muc,1
mAcon1,ND-13A,1
mAcon1,ND-13B,1
mAcon1,ND-15,1
mAcon1,ND-18,1
mAcon1,ND-19,1
mAcon1,ND-20,1
mAcon1,ND-23,1
mAcon1,ND-24,1
mAcon1,ND-30,1
mAcon1,ND-39,1
mAcon1,ND-42,1
mAcon1,ND-49,1
mAcon1,ND-51,1
mAcon1,ND-75,1
mAcon1,ND-ACP,1
mAcon1,ND-ASHI,1
mAcon1,ND-B12,1
mAcon1,ND-B14.5A,1
mAcon1,ND-B14.5B,1
mAcon1,ND-B14.7,1
mAcon1,ND-B15,1
mAcon1,ND-B17,1
mAcon1,ND-B17.2,1
mAcon1,ND-B22,1
mAcon1,ND-MLRQ,1
mAcon1,ND-MWFE,1
mAcon1,ND-PDSW,1
mAcon1,ND-SGDH,1
mAcon1,Neb-cGP,1
mAcon1,lncRNA:noe,1
mAcon1,NP15.6,1
mAcon1,nrv3,1
mAcon1,Opa1,1
mAcon1,ox,1
mAcon1,P32,1
mAcon1,P5CDh1,1
mAcon1,Pcyt1,1
mAcon1,Pect,1
mAcon1,Pex19,1
mAcon1,Phb2,1
mAcon1,POLDIP2,1
mAcon1,porin,1
mAcon1,Prx3,1
mAcon1,QIL1,1
mAcon1,Rack1,1
mAcon1,RFeSP,1
mAcon1,Roe1,1
mAcon1,roh,1
mAcon1,RpL12,1
mAcon1,RpL14,1
mAcon1,RpL21,1
mAcon1,RpL29,1
mAcon1,RpL34a,1
mAcon1,RpL35,1
mAcon1,RpL4,1
mAcon1,RpL5,1
mAcon1,RpL7A,1
mAcon1,RpS12,1
mAcon1,RpS15Aa,1
mAcon1,RpS2,1
mAcon1,RpS27A,1
mAcon1,RpS28b,1
mAcon1,RpS6,1
mAcon1,Sam-S,1
mAcon1,Scsalpha1,1
mAcon1,SdhA,1
mAcon1,SdhB,1
mAcon1,SdhC,1
mAcon1,SdhD,1
mAcon1,sesB,1
mAcon1,slgA,1
mAcon1,Sod2,1
mAcon1,spen,1
mAcon1,Ssadh,1
mAcon1,Tim8,1
